NOAA Solar Calculations - Change any of the highlighted cells to get solar position data for that location and time-of-day for a year.,,,Date,Time (hrs past local midnight),Julian Day,Julian Century,,Geom Mean Long Sun (deg),Geom Mean Anom Sun (deg),Eccent Earth Orbit,Sun Eq of Ctr,Sun True Long (deg),Sun True Anom (deg),Sun Rad Vector (AUs),Sun App Long (deg),Mean Obliq Ecliptic (deg),Obliq Corr (deg),Sun Rt Ascen (deg),Sun Declin (deg),var y,Eq of Time (minutes),HA Sunrise (deg),Solar Noon (LST),Sunrise Time (LST),Sunset Time (LST),Sunlight Duration (minutes),True Solar Time (min),Hour Angle (deg),Solar Zenith Angle (deg),Solar Elevation Angle (deg),Approx Atmospheric Refraction (deg),Solar Elevation corrected for atm refraction (deg),Solar Azimuth Angle (deg cw from N),
,,,21/05/2020,12:00:00,2458991.00,0.20386037,,59.59671638,7696.308801,0.016700059,1.302139762,60.89885615,7697.610941,1.012207091,60.88838655,23.43664007,23.43660673,58.74519487,20.33386012,0.043024392,3.358817731,111.6089181,12:07:00,4:40:34,19:33:26,892.8713447,712.9988177,-1.750295567,22.83333592,67.16666408,0.006793765,67.17345784,175.7674167,
,,,22/05/2020,12:00:00,2458992.00,0.20388775,,60.58236375,7697.294402,0.016700058,1.27819582,61.86055957,7698.572597,1.012398996,61.85008992,23.43663972,23.43660874,59.75001596,20.52944508,0.0430244,3.282059788,111.8350985,12:07:05,4:39:44,19:34:25,894.6807881,712.9220598,-1.769485053,22.63912323,67.36087677,0.006729494,67.36760626,175.6916151,
,,,23/05/2020,12:00:00,2458993.00,0.20391513,,61.56801111,7698.280002,0.016700057,1.253890796,62.82190191,7699.533893,1.012587287,62.81143221,23.43663936,23.43661075,60.75699223,20.719158,0.043024408,3.19669994,112.0553997,12:07:10,4:38:57,19:35:23,896.4431975,712.8366999,-1.790825015,22.45092356,67.54907644,0.006667385,67.55574383,175.6103511,
,,,24/05/2020,12:00:00,2458994.00,0.20394251,,62.55365847,7699.265602,0.016700056,1.229231801,63.78289028,7700.494834,1.01277191,63.77242053,23.43663901,23.43661276,61.76608262,20.90293366,0.043024415,3.102902881,112.2696758,12:07:15,4:38:11,19:36:20,898.1574065,712.7429029,-1.81427428,22.26880587,67.73119413,0.006607443,67.73780158,175.5236806,
,,,25/05/2020,12:00:00,2458995.00,0.20396988,,63.53930584,7700.251202,0.016700054,1.204226032,64.74353187,7701.455428,1.012952817,64.73306208,23.43663865,23.43661477,62.77724273,21.08070849,0.043024423,3.000846584,112.4777821,12:07:22,4:37:27,19:37:16,899.8222564,712.6408466,-1.839788354,22.09283749,67.90716251,0.006549673,67.91371218,175.4316768,
,,,26/05/2020,12:00:00,2458996.00,0.20399726,,64.5249532,7701.236803,0.016700053,1.17888077,65.70383397,7702.415684,1.013129957,65.69336414,23.43663829,23.43661678,63.79042488,21.25242067,0.04302443,2.890722154,112.6795749,12:07:28,4:36:45,19:38:11,901.4365992,712.5307222,-1.867319462,21.92308401,68.07691599,0.006494079,68.08341007,175.3344309,
,,,27/05/2020,12:00:00,2458997.00,0.20402464,,65.51060057,7702.222403,0.016700052,1.153203375,66.66380394,7703.375606,1.013303281,66.65333407,23.43663794,23.43661879,64.80557815,21.41801014,0.043024438,2.772733642,112.8749124,12:07:35,4:36:05,19:39:05,902.9992996,712.4127336,-1.896816589,21.7596091,68.2403909,0.006440665,68.24683157,175.232052,
,,,28/05/2020,12:00:00,2458998.00,0.20405202,,66.49624793,7703.208003,0.016700051,1.12720129,67.62344922,7704.335205,1.013472743,67.61297932,23.43663758,23.4366208,65.82264842,21.57741872,0.043024446,2.647097841,113.0636547,12:07:43,4:35:27,19:39:58,904.5092377,712.2870978,-1.92822554,21.60247446,68.39752554,0.006389437,68.40391497,175.1246681,
,,,29/05/2020,12:00:00,2458999.00,0.20407940,,67.48189529,7704.193604,0.01670005,1.100882034,68.58277733,7705.294486,1.013638297,68.5723074,23.43663723,23.43662281,66.84157841,21.7305901,0.043024453,2.514044041,113.245664,12:07:51,4:34:52,19:40:50,905.9653117,712.154044,-1.96148899,21.45173968,68.54826032,0.0063404,68.55460072,175.0124257,
,,,30/05/2020,12:00:00,2459000.00,0.20410678,,68.46754266,7705.179204,0.016700049,1.074253199,69.54179585,7706.253457,1.013799896,69.53132591,23.43663687,23.43662482,67.86230776,21.87746996,0.043024461,2.373813768,113.4208051,12:07:59,4:34:18,19:41:40,907.3664406,712.0138138,-1.996546558,21.30746209,68.69253791,0.006293558,68.69883147,174.8954905,
,,,31/05/2020,12:00:00,2459001.00,0.20413415,,69.45319002,7706.164804,0.016700048,1.047322454,70.50051247,7707.212127,1.013957498,70.49004251,23.43663651,23.43662683,68.88477312,22.018006,0.043024468,2.22666049,113.5889459,12:08:08,4:33:47,19:42:29,908.711567,711.8666605,-2.033334877,21.16969665,68.83030335,0.006248915,68.83655226,174.774047,
,,,01/06/2020,12:00:00,2459002.00,0.20416153,,70.43883738,7707.150404,0.016700046,1.020097538,71.45893492,7708.170502,1.014111059,71.44846494,23.43663616,23.43662884,69.90890818,22.152148,0.043024476,2.07284929,113.7499574,12:08:17,4:33:17,19:43:17,909.9996595,711.7128493,-2.071787678,21.03849585,68.96150415,0.006206477,68.96771063,174.6482987,
,,,02/06/2020,12:00:00,2459003.00,0.20418891,,71.42448475,7708.136005,0.016700045,0.992586259,72.41707101,7709.128591,1.014260537,72.40660101,23.4366358,23.43663085,70.93464377,22.27984787,0.043024484,1.912656517,113.9037144,12:08:27,4:32:50,19:44:04,911.2297155,711.5526565,-2.111835871,20.91390954,69.08609046,0.006166247,69.09225671,174.5184679,
,,,03/06/2020,12:00:00,2459004.00,0.20421629,,72.41013211,7709.121605,0.016700044,0.964796493,73.3749286,7710.086401,1.014405893,73.36445861,23.43663545,23.43663286,71.96190799,22.40105973,0.043024491,1.746369415,114.0500955,12:08:37,4:32:25,19:44:49,912.4007643,711.3863694,-2.153407646,20.79598484,69.20401516,0.00612823,69.21014339,174.3847951,
,,,04/06/2020,12:00:00,2459005.00,0.20424367,,73.39577947,7710.107205,0.016700043,0.93673618,74.33251565,7711.043941,1.014547086,74.32204565,23.43663509,23.43663487,72.99062626,22.51573992,0.043024499,1.57428571,114.1889837,12:08:47,4:32:02,19:45:32,913.5118693,711.2142857,-2.196428573,20.68476602,69.31523398,0.006092428,69.32132641,174.2475391,
,,,05/06/2020,12:00:00,2459006.00,0.20427105,,74.38142684,7711.092806,0.016700042,0.908413327,75.28984016,7712.001219,1.014684078,75.27937017,23.43663473,23.43663688,74.02072143,22.6238471,0.043024506,1.396713187,114.3202664,12:08:58,4:31:41,19:46:15,914.5621309,711.0367132,-2.240821703,20.58029436,69.41970564,0.006058846,69.42576449,174.1069758,
,,,06/06/2020,12:00:00,2459007.00,0.20429843,,75.3670742,7712.078406,0.016700041,0.879835998,76.2469102,7712.958242,1.014816832,76.23644021,23.43663438,23.43663889,75.05211392,22.72534225,0.043024514,1.213969236,114.4438361,12:09:09,4:31:22,19:46:55,915.5506892,710.8539692,-2.286507691,20.48260805,69.51739195,0.006027487,69.52341943,173.9633983,
,,,07/06/2020,12:00:00,2459008.00,0.20432580,,76.35272156,7713.064006,0.016700039,0.851012319,77.20373388,7713.915018,1.014945313,77.1932639,23.43663402,23.4366409,76.08472184,22.82018876,0.043024521,1.026380369,114.5595908,12:09:20,4:31:06,19:47:34,916.4767261,710.6663804,-2.333404908,20.39174211,69.60825789,0.005998353,69.61425624,173.8171153,
,,,08/06/2020,12:00:00,2459009.00,0.20435318,,77.33836893,7714.049606,0.016700038,0.821950472,78.1603194,7714.871557,1.015069485,78.14984943,23.43663367,23.43664291,77.11846108,22.90835246,0.043024529,0.834281723,114.6674335,12:09:32,4:30:51,19:48:12,917.3394683,710.4742817,-2.381429569,20.30772824,69.69227176,0.005971446,69.69824321,173.6684506,
,,,09/06/2020,12:00:00,2459010.00,0.20438056,,78.32401629,7715.035207,0.016700037,0.792658696,79.11667499,7715.827865,1.015189315,79.10620504,23.43663331,23.43664492,78.15324547,22.98980164,0.043024537,0.638016536,114.7672737,12:09:43,4:30:39,19:48:47,918.1381893,710.2780165,-2.430495866,20.23059477,69.76940523,0.005946768,69.775352,173.517742,
,,,10/06/2020,12:00:00,2459011.00,0.20440794,,79.30966365,7716.020807,0.016700036,0.763145281,80.07280894,7716.783952,1.01530477,80.06233901,23.43663295,23.43664693,79.18898691,23.06450712,0.043024544,0.437935601,114.8590265,12:09:55,4:30:29,19:49:21,918.872212,710.0779356,-2.4805161,20.16036657,69.83963343,0.005924321,69.84555775,173.3653403,
,,,11/06/2020,12:00:00,2459012.00,0.20443532,,80.29531102,7717.006407,0.016700035,0.733418572,81.02872959,7717.739826,1.01541582,81.01825969,23.4366326,23.43664894,80.22559552,23.13244227,0.043024552,0.234396704,114.9426138,12:10:08,4:30:21,19:49:54,919.5409102,709.8743967,-2.531400824,20.09706498,69.90293502,0.005904105,69.90883913,173.2116075,
,,,12/06/2020,12:00:00,2459013.00,0.20446270,,81.28095838,7717.992007,0.016700034,0.703486958,81.98444534,7718.695494,1.015522435,81.97397547,23.43663224,23.43665095,81.26297979,23.19358304,0.043024559,0.027764043,115.0179639,12:10:20,4:30:16,19:50:24,920.1437114,709.667764,-2.583058989,20.04070772,69.95929228,0.00588612,69.9651784,173.056916,
,,,13/06/2020,12:00:00,2459014.00,0.20449008,,82.26660575,7718.977608,0.016700033,0.673358879,82.93996462,7719.650967,1.015624585,82.92949479,23.43663189,23.43665296,82.30104671,23.24790802,0.043024567,-0.181592374,115.0850123,12:10:32,4:30:12,19:50:53,920.6800981,709.4584076,-2.635398094,19.99130888,70.00869112,0.005870367,70.01456149,172.9016466,
,,,14/06/2020,12:00:00,2459015.00,0.20451745,,83.25225311,7719.963208,0.016700031,0.64304282,83.89529593,7720.606251,1.015722244,83.88482613,23.43663153,23.43665497,83.33970196,23.29539841,0.043024575,-0.39329734,115.1437012,12:10:45,4:30:11,19:51:20,921.1496096,709.2467027,-2.688324335,19.94887886,70.05112114,0.005856844,70.05697798,172.7461873,
,,,15/06/2020,12:00:00,2459016.00,0.20454483,,84.23790047,7720.948808,0.01670003,0.612547308,84.85044778,7721.561356,1.015815384,84.83997802,23.43663117,23.43665698,84.37885006,23.33603811,0.043024582,-0.606971076,115.1939805,12:10:58,4:30:11,19:51:45,921.5518437,709.0330289,-2.741742769,19.91342436,70.08657564,0.005845549,70.09242119,172.5909317,
,,,16/06/2020,12:00:00,2459017.00,0.20457221,,85.22354784,7721.934409,0.016700029,0.581880912,85.80542875,7722.51629,1.015903982,85.79495904,23.43663082,23.43665899,85.41839453,23.3698137,0.04302459,-0.822229876,115.2358072,12:11:11,4:30:14,19:52:08,921.8864579,708.8177701,-2.795557469,19.88494836,70.11505164,0.005836481,70.12088812,172.4362771,
,,,17/06/2020,12:00:00,2459018.00,0.20459959,,86.2091952,7722.920009,0.016700028,0.55105224,86.76024744,7723.471061,1.015988012,86.74977778,23.43663046,23.436661,86.45823806,23.39671447,0.043024597,-1.038686753,115.2691463,12:11:24,4:30:19,19:52:29,922.1531703,708.6013132,-2.849671688,19.86345012,70.13654988,0.005829638,70.14237952,172.2826227,
,,,18/06/2020,12:00:00,2459019.00,0.20462697,,87.19484256,7723.905609,0.016700027,0.520069935,87.7149125,7724.425679,1.016067453,87.70444289,23.43663011,23.43666301,87.49828269,23.4167324,0.043024605,-1.255952099,115.2939702,12:11:37,4:30:26,19:52:48,922.3517613,708.3840479,-2.903988025,19.84892518,70.15107482,0.005825015,70.15689984,172.1303683,
,,,19/06/2020,12:00:00,2459020.00,0.20465435,,88.18048993,7724.891209,0.016700026,0.48894268,88.66943261,7725.380152,1.016142284,88.65896306,23.43662975,23.43666502,88.53842997,23.42986225,0.043024613,-1.473634357,115.3102592,12:11:50,4:30:36,19:53:04,922.4820733,708.1663656,-2.958408589,19.84136543,70.15863457,0.005822609,70.16445718,171.9799118,
,,,20/06/2020,12:00:00,2459021.00,0.20468172,,89.16613729,7725.87681,0.016700024,0.457679185,89.62381648,7726.334489,1.016212483,89.61334699,23.43662939,23.43666703,89.57858116,23.43610147,0.04302462,-1.691340685,115.3180015,12:12:03,4:30:47,19:53:19,922.5440122,707.9486593,-3.012835171,19.84075912,70.15924088,0.005822417,70.16506329,171.8316484,
,,,21/06/2020,12:00:00,2459022.00,0.20470910,,90.15178465,7726.86241,0.016700023,0.426288197,90.57807285,7727.288698,1.016278033,90.56760343,23.43662904,23.43666904,90.61863736,23.43545027,0.043024628,-1.908677639,115.3171934,12:12:16,4:31:00,19:53:32,922.5375471,707.7313224,-3.06716941,19.84709094,70.15290906,0.005824431,70.15873349,171.6859679,
,,,22/06/2020,12:00:00,2459023.00,0.20473648,,91.13743202,7727.84801,0.016700022,0.394778487,91.5322105,7728.242789,1.016338916,91.52174116,23.43662868,23.43667105,91.65849975,23.42791159,0.043024635,-2.125251849,115.3078388,12:12:29,4:31:15,19:53:43,922.4627105,707.5147482,-3.121312962,19.86034205,70.13965795,0.005828649,70.1454866,171.5432537,
,,,23/06/2020,12:00:00,2459024.00,0.20476386,,92.12307938,7728.833611,0.016700021,0.363158857,92.48623824,7729.196769,1.016395114,92.47576897,23.43662833,23.43667305,92.69806969,23.41349111,0.043024643,-2.340670693,115.2899498,12:12:42,4:31:32,19:53:52,922.3195986,707.2993293,-3.175167673,19.88049019,70.11950981,0.005835062,70.12534487,171.4038807,
,,,24/06/2020,12:00:00,2459025.00,0.20479124,,93.10872674,7729.819211,0.01670002,0.33143813,93.44016487,7730.150649,1.016446615,93.42969568,23.43662797,23.43667506,93.73724895,23.39219722,0.04302465,-2.55454298,115.2635463,12:12:55,4:31:52,19:53:58,922.1083704,707.085457,-3.228635745,19.90750979,70.09249021,0.005843666,70.09833388,171.2682139,
,,,25/06/2020,12:00:00,2459026.00,0.20481862,,94.09437411,7730.804811,0.016700019,0.299625156,94.39399926,7731.104436,1.016493402,94.38353016,23.43662761,23.43667707,94.77593989,23.36404101,0.043024658,-2.766479619,115.2286559,12:13:08,4:32:13,19:54:02,921.8292474,706.8735204,-3.281619905,19.94137201,70.05862799,0.005854452,70.06448244,171.1366071,
,,,26/06/2020,12:00:00,2459027.00,0.20484600,,95.08002147,7731.790411,0.016700018,0.267728803,95.34775027,7732.05814,1.016535465,95.33728125,23.43662726,23.43667908,95.81404559,23.3290363,0.043024666,-2.976094285,115.1853141,12:13:20,4:32:36,19:54:05,921.482513,706.6639057,-3.334023571,19.98204493,70.01795507,0.005867414,70.02382248,171.009401,
,,,27/06/2020,12:00:00,2459028.00,0.20487337,,96.06566884,7732.776012,0.016700016,0.235757959,96.30142679,7733.01177,1.016572792,96.29095787,23.4366269,23.43668109,96.85147003,23.28719954,0.043024673,-3.183004084,115.1335639,12:13:33,4:33:01,19:54:05,921.0685113,706.4569959,-3.385751021,20.02949359,69.97050641,0.005882543,69.97638895,170.8869223,
,,,28/06/2020,12:00:00,2459029.00,0.20490075,,97.0513162,7733.761612,0.016700015,0.203721529,97.25503773,7733.965334,1.016605372,97.2445689,23.43662655,23.4366831,97.88811828,23.23854986,0.043024681,-3.386830202,115.0734558,12:13:45,4:33:27,19:54:02,920.5876461,706.2531698,-3.43670755,20.08368019,69.91631981,0.005899832,69.92221964,170.7694821,
,,,29/06/2020,12:00:00,2459030.00,0.20492813,,98.03696356,7734.747212,0.016700014,0.171628433,98.208592,7734.918841,1.016633197,98.19812326,23.43662619,23.43668511,98.92389666,23.18310901,0.043024688,-3.587198544,115.0050474,12:13:57,4:33:56,19:53:58,920.0403792,706.0528015,-3.486799636,20.14456418,69.85543582,0.005919273,69.86135509,170.6573752,
,,,30/06/2020,12:00:00,2459031.00,0.20495551,,99.02261093,7735.732813,0.016700013,0.139487603,99.16209853,7735.8723,1.01665626,99.1516299,23.43662583,23.43668712,99.95871288,23.12090131,0.043024696,-3.78374037,114.9284037,12:14:09,4:34:26,19:53:51,919.4272297,705.8562596,-3.535935093,20.21210241,69.78789759,0.005940855,69.79383845,170.550879,
,,,01/07/2020,12:00:00,2459032.00,0.20498289,,100.0082583,7736.718413,0.016700012,0.107307982,100.1155663,7736.825721,1.016674555,100.1050977,23.43662548,23.43668913,100.9924762,23.05195367,0.043024704,-3.976092903,114.8435964,12:14:20,4:34:58,19:53:43,918.7487711,705.6639071,-3.584023226,20.28624927,69.71375073,0.005964572,69.7197153,170.4502526,
,,,02/07/2020,12:00:00,2459033.00,0.20501027,,100.9939057,7737.704013,0.016700011,0.075098522,101.0690042,7737.779112,1.016688076,101.0585358,23.43662512,23.43669114,102.0250976,22.97629551,0.043024711,-4.163899934,114.7507038,12:14:31,4:35:31,19:53:32,918.0056307,705.4761001,-3.630974984,20.36695686,69.63304314,0.005990412,69.63903355,170.3557359,
,,,03/07/2020,12:00:00,2459034.00,0.20503765,,101.979553,7738.689613,0.01670001,0.042868182,102.0224212,7738.732482,1.016696819,102.0119529,23.43662476,23.43669315,103.0564898,22.89395873,0.043024719,-4.346812402,114.6498108,12:14:42,4:36:06,19:53:18,917.1984866,705.2931876,-3.6767031,20.45417511,69.54582489,0.006018367,69.55184326,170.2675494,
,,,04/07/2020,12:00:00,2459035.00,0.20506502,,102.9652004,7739.675214,0.016700008,0.010625925,102.9758263,7739.68584,1.016700784,102.9653581,23.43662441,23.43669516,104.0865678,22.80497768,0.043024726,-4.524488961,114.5410083,12:14:53,4:36:43,19:53:03,916.328066,705.115511,-3.72112224,20.54785192,69.45214808,0.006048427,69.45819651,170.1858935,
,,,05/07/2020,12:00:00,2459036.00,0.20509240,,103.9508477,7740.660814,0.016700007,-0.021619283,103.9292285,7740.639195,1.016699968,103.9187604,23.43662405,23.43669717,105.1152484,22.70938911,0.043024734,-4.696596526,114.4243929,12:15:03,4:37:22,19:52:45,915.395143,704.9434035,-3.764149131,20.64793335,69.35206665,0.006080583,69.35814723,170.1109484,
,,,06/07/2020,12:00:00,2459037.00,0.20511978,,104.9364951,7741.646414,0.016700006,-0.053858474,104.8826366,7741.592556,1.016694371,104.8721687,23.4366237,23.43669918,106.1424508,22.60723212,0.043024742,-4.862810794,114.300067,12:15:13,4:38:01,19:52:25,914.400536,704.7771892,-3.805702698,20.75436373,69.24563627,0.006114826,69.2517511,170.0428736,
,,,07/07/2020,12:00:00,2459038.00,0.20514716,,105.9221425,7742.632014,0.016700005,-0.086082683,105.8360598,7742.545932,1.016683996,105.825592,23.43662334,23.43670118,107.1680967,22.4985481,0.043024749,-5.022816749,114.1681382,12:15:23,4:38:43,19:52:03,913.3451055,704.6171833,-3.845704187,20.8670858,69.1329142,0.006151145,69.13906535,169.981808,
,,,08/07/2020,12:00:00,2459039.00,0.20517454,,106.9077898,7743.617615,0.016700004,-0.118282948,106.7895069,7743.499332,1.016668845,106.7790392,23.43662298,23.43670319,108.19211,22.3833807,0.043024757,-5.176309141,114.0287189,12:15:32,4:39:25,19:51:39,912.2297511,704.4636909,-3.884077285,20.98604089,69.01395911,0.006189531,69.02014864,169.9278699,
,,,09/07/2020,12:00:00,2459040.00,0.20520192,,107.8934372,7744.603215,0.016700003,-0.150450313,107.7429869,7744.452765,1.016648922,107.7325194,23.43662263,23.4367052,109.2144174,22.26177575,0.043024764,-5.32299294,113.8819262,12:15:41,4:40:09,19:51:13,911.0554095,704.3170071,-3.920748235,21.111169,68.888831,0.006229975,68.89506097,169.8811574,
,,,10/07/2020,12:00:00,2459041.00,0.20522930,,108.8790846,7745.588815,0.016700001,-0.182575829,108.6965087,7745.40624,1.016624232,108.6860414,23.43662227,23.43670721,110.2349482,22.13378126,0.043024772,-5.462583764,113.7278814,12:15:49,4:40:55,19:50:44,909.8230515,704.1774162,-3.955645941,21.24240899,68.75759101,0.006272467,68.76386348,169.8417481,
,,,11/07/2020,12:00:00,2459042.00,0.20525667,,109.8647319,7746.574416,0.0167,-0.214650555,109.6500814,7746.359765,1.016594783,109.6396142,23.43662192,23.43670922,111.2536347,21.99944727,0.043024779,-5.594808283,113.5667099,12:15:57,4:41:41,19:50:13,908.5336792,704.0451917,-3.988702071,21.37969863,68.62030137,0.006316999,68.62661837,169.8097001,
,,,12/07/2020,12:00:00,2459043.00,0.20528405,,110.8503793,7747.560016,0.016699999,-0.246665563,110.6037137,7747.31335,1.016560581,110.5932467,23.43662156,23.43671123,112.2704118,21.85882588,0.043024787,-5.719404598,113.3985404,12:16:05,4:42:29,19:49:40,907.1883236,703.9205954,-4.01985115,21.5229748,68.4770252,0.006363562,68.48338876,169.7850519,
,,,13/07/2020,12:00:00,2459044.00,0.20531143,,111.8360267,7748.545616,0.016699998,-0.278611939,111.5574147,7748.267004,1.016521636,111.5469478,23.4366212,23.43671324,113.2852175,21.71197115,0.043024795,-5.836122585,113.2235052,12:16:12,4:43:18,19:49:05,905.7880416,703.8038774,-4.049030646,21.67217354,68.32782646,0.006412146,68.33423861,169.7678233,
,,,14/07/2020,12:00:00,2459045.00,0.20533881,,112.821674,7749.531216,0.016699997,-0.310480784,112.5111932,7749.220736,1.016477959,112.5007265,23.43662085,23.43671524,114.2979929,21.55893903,0.043024802,-5.94472422,113.0417392,12:16:18,4:44:08,19:48:28,904.3339135,703.6952758,-4.076181055,21.82723017,68.17276983,0.006462745,68.17923258,169.7580157,
,,,15/07/2020,12:00:00,2459046.00,0.20536619,,113.8073214,7750.516817,0.016699996,-0.342263215,113.4650582,7750.174554,1.016429561,113.4545916,23.43662049,23.43671725,115.308682,21.39978733,0.04302481,-6.044983868,112.85338,12:16:24,4:44:59,19:47:49,902.8270402,703.5950161,-4.101245967,21.9880794,68.0119206,0.006515349,68.01843595,169.755613,
,,,16/07/2020,12:00:00,2459047.00,0.20539357,,114.7929687,7751.502417,0.016699995,-0.373950371,114.4190184,7751.128467,1.016376455,114.408552,23.43662014,23.43671926,116.3172322,21.23457562,0.043024817,-6.136688548,112.6585676,12:16:30,4:45:52,19:47:08,901.2685405,703.5033115,-4.124172137,22.15465542,67.84534458,0.006569951,67.85191453,169.7605822,
,,,17/07/2020,12:00:00,2459048.00,0.20542094,,115.7786161,7752.488017,0.016699993,-0.405533411,115.3730827,7752.082484,1.016318655,115.3626165,23.43661978,23.43672127,117.3235939,21.06336521,0.043024825,-6.219638168,112.4574436,12:16:35,4:46:45,19:46:25,899.6595486,703.4203618,-4.144909542,22.32689195,67.67310805,0.006626545,67.6797346,169.7728739,
,,,18/07/2020,12:00:00,2459049.00,0.20544832,,116.7642635,7753.473618,0.016699992,-0.437003518,116.32726,7753.036614,1.016256177,116.3167939,23.43661942,23.43672328,118.3277208,20.88621904,0.043024833,-6.293645727,112.2501514,12:16:39,4:47:39,19:45:39,898.0012112,703.3463543,-4.163411432,22.50472234,67.49527766,0.006685123,67.50196278,169.7924237,
,,,19/07/2020,12:00:00,2459050.00,0.20547570,,117.7499108,7754.459218,0.016699991,-0.468351902,117.2815589,7753.990866,1.016189038,117.271093,23.43661907,23.43672529,119.3295699,20.70320166,0.04302484,-6.358537495,112.0368357,12:16:43,4:48:34,19:44:52,896.2946856,703.2814625,-4.179634374,22.68807964,67.31192036,0.006745678,67.31866604,169.8191523,
,,,20/07/2020,12:00:00,2459051.00,0.20550308,,118.7355582,7755.444818,0.01669999,-0.499569799,118.2359884,7754.945248,1.016117256,118.2255227,23.43661871,23.43672729,120.3291015,20.51437913,0.043024848,-6.414153155,111.8176421,12:16:46,4:49:30,19:44:03,894.5411366,703.2258468,-4.193538289,22.87689665,67.12310335,0.006808206,67.12991156,169.8529668,
,,,21/07/2020,12:00:00,2459052.00,0.20553046,,119.7212056,7756.430418,0.016699989,-0.530648475,119.1905571,7755.89977,1.016040849,119.1800916,23.43661836,23.4367293,121.3262793,20.319819,0.043024855,-6.460345926,111.5927168,12:16:49,4:50:27,19:43:11,892.7417344,703.1796541,-4.205086481,23.07110594,66.92889406,0.0068727,66.93576676,169.8937613,
,,,22/07/2020,12:00:00,2459053.00,0.20555784,,120.7068529,7757.416019,0.016699988,-0.561579229,120.1452737,7756.854439,1.015959839,120.1348084,23.436618,23.43673131,122.3210703,20.11959019,0.043024863,-6.496982646,111.3622065,12:16:51,4:51:24,19:42:18,890.8976523,703.1430174,-4.214245661,23.27063996,66.72936004,0.006939156,66.73629919,169.941418,
,,,23/07/2020,12:00:00,2459054.00,0.20558522,,121.6925003,7758.401619,0.016699986,-0.592353391,121.1001469,7757.809266,1.015874246,121.0896818,23.43661764,23.43673332,123.3134447,19.91376298,0.04302487,-6.523943837,111.1262581,12:16:53,4:52:23,19:41:23,889.0100646,703.1160562,-4.220985959,23.47543102,66.52456898,0.007007569,66.53157655,169.9958077,
,,,24/07/2020,12:00:00,2459055.00,0.20561259,,122.6781477,7759.387219,0.016699985,-0.62296233,122.0551853,7758.764257,1.015784095,122.0447204,23.43661729,23.43673532,124.3033764,19.70240893,0.043024878,-6.541123739,110.885018,12:16:54,4:53:22,19:40:26,887.0801444,703.0988763,-4.225280935,23.68541132,66.31458868,0.007077935,66.32166661,170.0567912,
,,,25/07/2020,12:00:00,2459056.00,0.20563997,,123.663795,7760.37282,0.016699984,-0.653397451,123.0103976,7759.719422,1.01568941,122.9999329,23.43661693,23.43673733,125.2908424,19.48560081,0.043024886,-6.548430312,110.6386327,12:16:55,4:54:21,19:39:28,885.1090613,703.0915697,-4.227107578,23.90051304,66.09948696,0.007150252,66.10663722,170.1242196,
,,,26/07/2020,12:00:00,2459057.00,0.20566735,,124.6494424,7761.35842,0.016699983,-0.683650199,123.9657922,7760.67477,1.015590215,123.9553277,23.43661658,23.43673934,126.275823,19.26341253,0.043024893,-6.545785217,110.3872475,12:16:54,4:55:21,19:38:27,883.0979801,703.0942148,-4.226446304,24.12066825,65.87933175,0.007224517,65.88655627,170.1979352,
,,,27/07/2020,12:00:00,2459058.00,0.20569473,,125.6350897,7762.34402,0.016699982,-0.713712062,124.9213777,7761.630308,1.015486538,124.9109134,23.43661622,23.43674135,127.258302,19.03591914,0.043024901,-6.533123771,110.1310073,12:16:54,4:56:22,19:37:25,881.0480585,703.1068762,-4.223280943,24.34580903,65.65419097,0.007300726,65.6614917,170.2777727,
,,,28/07/2020,12:00:00,2459059.00,0.20572211,,126.6207371,7763.32962,0.016699981,-0.743574569,125.8771625,7762.586046,1.015378406,125.8666985,23.43661586,23.43674335,128.2382665,18.80319669,0.043024908,-6.510394873,109.8700557,12:16:52,4:57:23,19:36:21,878.9604455,703.1296051,-4.217598718,24.57586739,65.42413261,0.00737888,65.43151149,170.3635597,
,,,29/07/2020,12:00:00,2459060.00,0.20574949,,127.6063845,7764.315221,0.01669998,-0.7732293,126.8331552,7763.541991,1.015265849,126.8226913,23.43661551,23.43674536,129.2157069,18.56532224,0.043024916,-6.477560911,109.604535,12:16:50,4:58:25,19:35:15,876.8362799,703.1624391,-4.209390228,24.81077533,65.18922467,0.007458977,65.19668364,170.4551175,
,,,30/07/2020,12:00:00,2459061.00,0.20577687,,128.5920318,7765.300821,0.016699978,-0.802667877,127.789364,7764.498153,1.015148896,127.7789003,23.43661515,23.43674737,130.1906166,18.32237377,0.043024924,-6.434597643,109.3345861,12:16:48,4:59:27,19:34:08,874.6766888,703.2054024,-4.198649411,25.05046482,64.94953518,0.007541016,64.9570762,170.5522618,
,,,31/07/2020,12:00:00,2459062.00,0.20580424,,129.5776792,7766.286421,0.016699977,-0.831881976,128.7457972,7765.454539,1.015027581,128.7353338,23.4366148,23.43674937,131.1629925,18.07443014,0.043024931,-6.381494058,109.0603483,12:16:44,5:00:30,19:32:59,872.4827862,703.2585059,-4.185373515,25.29486776,64.70513224,0.007624998,64.71275723,170.6548035,
